#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0146886	FBti0146886	Fhos	Mi{MIC}	1	-	37900 y[1] w[*]; Mi{MIC}Fhos[MI04231]/TM3, Sb[1] Ser[1]	Mi{MIC}Fhos[MI04231]
FBti0178516	FBti0178516	GluClalpha	Mi{PT-GFSTF.2}	-1	-	60533 y[1] w[*]; Mi{PT-GFSTF.2}GluClα[MI02890-GFSTF.2]/TM6C, Sb[1] Tb[1]	Mi{PT-GFSTF.2}GluClalpha[MI02890-GFSTF.2]
FBti0151492	FBti0151492	Rh7	Mi{MIC}	-1	-	43712 y[1] w[*]; Mi{MIC}Rh7[MI07471]	Mi{MIC}Rh7[MI07471]
FBti0178421	FBti0178421	Dl	Mi{PT-GFSTF.1}	1	-	59819 y[1] w[*]; Mi{PT-GFSTF.1}Dl[MI04868-GFSTF.1]/TM6C, Sb[1] Tb[1]	Mi{PT-GFSTF.1}Dl[MI04868-GFSTF.1]
FBti0182548	FBti0182548	mod(mdg4) <newline> pre-mod(mdg4)-AE <newline> pre-mod(mdg4)-AD <newline> pre-mod(mdg4)-U <newline> pre-mod(mdg4)-V <newline> pre-mod(mdg4)-W <newline> pre-mod(mdg4)-X	Mi{PT-GFSTF.1}	-1	-	65340 y[1] w[*]; Mi{PT-GFSTF.1}mod(mdg4)[MI13336-GFSTF.1] pre-mod(mdg4)-AE[MI13336-GFSTF.1-X] pre-mod(mdg4)-AD[MI13336-GFSTF.1-X] pre-mod(mdg4)-U[MI13336-GFSTF.1-X] pre-mod(mdg4)-V[MI13336-GFSTF.1-X] pre-mod(mdg4)-W[MI13336-GFSTF.1-X]	Mi{PT-GFSTF.1}mod(mdg4)[MI13336-GFSTF.1]
FBti0195472	FBti0195472	CG13175 <newline> CG33964 <newline> SmF	Mi{Trojan-GAL4.2}	1	-	76742 y[1] w[*]; Mi{Trojan-GAL4.2}CG33964[MI12535-TG4.2] CG13175[MI12535-TG4.2-X] SmF[MI12535-TG4.2-X]/SM6a	Mi{Trojan-GAL4.2}CG33964[MI12535-TG4.2]
FBti0185347	FBti0185347	CG46491 <newline> CG46492	Mi{Trojan-GAL4.0}	-1	-	66792 y[1] w[*]; Mi{Trojan-GAL4.0}CG46491[MI03430-TG4.0]/SM6a	Mi{Trojan-GAL4.0}CG46491[MI03430-TG4.0]
FBti0187504	FBti0187504	Trim9 <newline> w-cup	Mi{Trojan-GAL4.0}	1	-	76133 y[1] w[*]; Mi{Trojan-GAL4.0}Trim9[MI00398-TG4.0] w-cup[MI00398-TG4.0-X]	Mi{Trojan-GAL4.0}Trim9[MI00398-TG4.0]
FBti0187507	FBti0187507	CG34307 <newline> Cad87A	Mi{Trojan-GAL4.0}	-1	-	76136 y[1] w[*]; Mi{Trojan-GAL4.0}Cad87A[MI01161-TG4.0] CG34307[MI01161-TG4.0-X]	Mi{Trojan-GAL4.0}Cad87A[MI01161-TG4.0]
FBti0187527	FBti0187527	Spn43Ab <newline> pk	Mi{Trojan-GAL4.1}	-1	-	76156 y[1] w[*]; Mi{Trojan-GAL4.1}Spn43Ab[MI02868-TG4.1] pk[MI02868-TG4.1-X]	Mi{Trojan-GAL4.1}Spn43Ab[MI02868-TG4.1]
