#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0206891	FBti0206891	CG12769	TI{CRIMIC.TG4.0}	-1	-	83263 y[1] w[*]; TI{CRIMIC.TG4.0}CG12769[CR01314-TG4.0]/SM6a	TI{CRIMIC.TG4.0}CG12769[CR01314-TG4.0]
FBti0206892	FBti0206892	MCPH1 <newline> Zip48C	TI{CRIMIC.TG4.0}	-1	-	86507 y[1] w[*]; TI{CRIMIC.TG4.0}MCPH1[CR01315-TG4.0] Zip48C[CR01315-TG4.0-X]/SM6a	TI{CRIMIC.TG4.0}MCPH1[CR01315-TG4.0]
FBti0206893	FBti0206893	S	TI{CRIMIC.TG4.1}	-1	-	83265 y[1] w[*]; TI{CRIMIC.TG4.1}S[CR01320-TG4.1]/SM6a	TI{CRIMIC.TG4.1}S[CR01320-TG4.1]
FBti0206894	FBti0206894	Arr1	TI{CRIMIC.TG4.1}	1	-	83266 y[1] w[*]; TI{CRIMIC.TG4.1}Arr1[CR01322-TG4.1]	TI{CRIMIC.TG4.1}Arr1[CR01322-TG4.1]
FBti0206895	FBti0206895	snsl	TI{CRIMIC.TG4.1}	-1	-	83267 y[1] w[*]; TI{CRIMIC.TG4.1}snsl[CR01323-TG4.1]/SM6a	TI{CRIMIC.TG4.1}snsl[CR01323-TG4.1]
FBti0206896	FBti0206896	GluRIIC	TI{CRIMIC.TG4.1}	1	-	83268 y[1] w[*]; TI{CRIMIC.TG4.1}GluRIIC[CR01324-TG4.1]/SM6a	TI{CRIMIC.TG4.1}GluRIIC[CR01324-TG4.1]
FBti0206897	FBti0206897	spz3	TI{CRIMIC.TG4.1}	-1	-	83269 y[1] w[*]; TI{CRIMIC.TG4.1}spz3[CR01328-TG4.1]/SM6a	TI{CRIMIC.TG4.1}spz3[CR01328-TG4.1]
FBti0206898	FBti0206898	Dlip3	TI{CRIMIC.TG4.1}	1	-	83270 y[1] w[*]; TI{CRIMIC.TG4.1}Dlip3[CR01330-TG4.1]/SM6a	TI{CRIMIC.TG4.1}Dlip3[CR01330-TG4.1]
FBti0206899	FBti0206899	CG10543	TI{CRIMIC.TG4.1}	1	-	83271 y[1] w[*]; TI{CRIMIC.TG4.1}CG10543[CR01331-TG4.1]/SM6a	TI{CRIMIC.TG4.1}CG10543[CR01331-TG4.1]
FBti0206900	FBti0206900	CG8046	TI{CRIMIC.TG4.1}	-1	-	83272 y[1] w[*]; TI{CRIMIC.TG4.1}CG8046[CR01340-TG4.1]	TI{CRIMIC.TG4.1}CG8046[CR01340-TG4.1]
FBti0206901	FBti0206901	OstDelta	TI{CRIMIC.TG4.1}	-1	-	83273 y[1] w[*]; TI{CRIMIC.TG4.1}OstΔ[CR01341-TG4.1]/SM6a	TI{CRIMIC.TG4.1}OstDelta[CR01341-TG4.1]
FBti0206902	FBti0206902	Bap170	TI{CRIMIC.TG4.1}	1	-	83274 y[1] w[*]; TI{CRIMIC.TG4.1}Bap170[CR01342-TG4.1]/SM6a	TI{CRIMIC.TG4.1}Bap170[CR01342-TG4.1]
FBti0206903	FBti0206903	CG5080	TI{CRIMIC.TG4.2}	-1	-	83275 y[1] w[*]; TI{CRIMIC.TG4.2}CG5080[CR01346-TG4.2]	TI{CRIMIC.TG4.2}CG5080[CR01346-TG4.2]
FBti0206904	FBti0206904	Wwox	TI{CRIMIC.TG4.2}	-1	-	84884 y[1] w[*]; TI{CRIMIC.TG4.2}Wwox[CR01347-TG4.2]	TI{CRIMIC.TG4.2}Wwox[CR01347-TG4.2]
